"U_year","agegp","L_age","U_age","U_yearBorn","sex","cause","countDeaths","cohortDeaths","pctOfDeaths"
1969,"05-09",5,9,1964,"1","Infectious/parasitic",25,816,3.06
1969,"05-09",5,9,1964,"1","Injury and poisoning",369,816,45.22
1969,"05-09",5,9,1964,"1","Mental disorders",3,816,0.37
1969,"05-09",5,9,1964,"1","Musculoskeletal/connective tissue",1,816,0.12
1969,"05-09",5,9,1964,"1","Neoplasm",153,816,18.75
1969,"05-09",5,9,1964,"1","Nervous system/sense organs",45,816,5.51
1969,"05-09",5,9,1964,"1","Respiratory system",70,816,8.58
1969,"05-09",5,9,1964,"2","Blood/blood forming organs",10,538,1.86
1969,"05-09",5,9,1964,"2","Circulatory system",15,538,2.79
1969,"05-09",5,9,1964,"2","Congenital anomalies",73,538,13.57
1969,"05-09",5,9,1964,"2","Digestive system",18,538,3.35
1969,"05-09",5,9,1964,"2","Endocrine/nutritional/metabolic/immunity",19,538,3.53
1969,"05-09",5,9,1964,"2","Genitourinary system",7,538,1.3
1969,"05-09",5,9,1964,"2","Ill-defined/Other",2,538,0.37
1969,"05-09",5,9,1964,"2","Infectious/parasitic",30,538,5.58
1969,"05-09",5,9,1964,"2","Injury and poisoning",143,538,26.58
1969,"05-09",5,9,1964,"2","Mental disorders",2,538,0.37
1969,"05-09",5,9,1964,"2","Neoplasm",113,538,21
1969,"05-09",5,9,1964,"2","Nervous system/sense organs",33,538,6.13
1969,"05-09",5,9,1964,"2","Respiratory system",73,538,13.57
1969,"10-14",10,14,1959,"1","Blood/blood forming organs",5,649,0.77
1969,"10-14",10,14,1959,"1","Circulatory system",17,649,2.62
1969,"10-14",10,14,1959,"1","Congenital anomalies",47,649,7.24
1969,"10-14",10,14,1959,"1","Digestive system",12,649,1.85
1969,"10-14",10,14,1959,"1","Endocrine/nutritional/metabolic/immunity",20,649,3.08
1969,"10-14",10,14,1959,"1","Genitourinary system",8,649,1.23
1969,"10-14",10,14,1959,"1","Ill-defined/Other",1,649,0.15
1969,"10-14",10,14,1959,"1","Infectious/parasitic",20,649,3.08
1969,"10-14",10,14,1959,"1","Injury and poisoning",286,649,44.07
1969,"10-14",10,14,1959,"1","Mental disorders",3,649,0.46
1969,"10-14",10,14,1959,"1","Musculoskeletal/connective tissue",2,649,0.31
1969,"10-14",10,14,1959,"1","Neoplasm",121,649,18.64
1969,"10-14",10,14,1959,"1","Nervous system/sense organs",48,649,7.4
1969,"10-14",10,14,1959,"1","Respiratory system",57,649,8.78
1969,"10-14",10,14,1959,"1","Skin and subcutaneous tissue",2,649,0.31
1969,"10-14",10,14,1959,"2","Blood/blood forming organs",3,401,0.75
1969,"10-14",10,14,1959,"2","Circulatory system",25,401,6.23
1969,"10-14",10,14,1959,"2","Congenital anomalies",43,401,10.72
1969,"10-14",10,14,1959,"2","Digestive system",10,401,2.49
1969,"10-14",10,14,1959,"2","Endocrine/nutritional/metabolic/immunity",18,401,4.49
1969,"10-14",10,14,1959,"2","Genitourinary system",10,401,2.49
1969,"10-14",10,14,1959,"2","Ill-defined/Other",1,401,0.25
1969,"10-14",10,14,1959,"2","Infectious/parasitic",13,401,3.24
1969,"10-14",10,14,1959,"2","Injury and poisoning",94,401,23.44
1969,"10-14",10,14,1959,"2","Mental disorders",2,401,0.5
1969,"10-14",10,14,1959,"2","Neoplasm",107,401,26.68
1969,"10-14",10,14,1959,"2","Nervous system/sense organs",25,401,6.23
1969,"10-14",10,14,1959,"2","Pregnancy/childbirth/puerperium",2,401,0.5
1969,"10-14",10,14,1959,"2","Respiratory system",47,401,11.72
1969,"10-14",10,14,1959,"2","Skin and subcutaneous tissue",1,401,0.25
1969,"15-19",15,19,1954,"1","Blood/blood forming organs",8,1551,0.52
1969,"15-19",15,19,1954,"1","Circulatory system",70,1551,4.51
1969,"15-19",15,19,1954,"1","Congenital anomalies",50,1551,3.22
1969,"15-19",15,19,1954,"1","Digestive system",21,1551,1.35
1969,"15-19",15,19,1954,"1","Endocrine/nutritional/metabolic/immunity",11,1551,0.71
1969,"15-19",15,19,1954,"1","Genitourinary system",18,1551,1.16
1969,"15-19",15,19,1954,"1","Ill-defined/Other",3,1551,0.19
1969,"15-19",15,19,1954,"1","Infectious/parasitic",19,1551,1.23
1969,"15-19",15,19,1954,"1","Injury and poisoning",1002,1551,64.6
1969,"15-19",15,19,1954,"1","Mental disorders",8,1551,0.52
1969,"15-19",15,19,1954,"1","Musculoskeletal/connective tissue",3,1551,0.19
1969,"15-19",15,19,1954,"1","Neoplasm",166,1551,10.7
1969,"15-19",15,19,1954,"1","Nervous system/sense organs",81,1551,5.22
1969,"15-19",15,19,1954,"1","Respiratory system",91,1551,5.87
1969,"15-19",15,19,1954,"2","Blood/blood forming organs",7,570,1.23
1969,"15-19",15,19,1954,"2","Circulatory system",40,570,7.02
1969,"15-19",15,19,1954,"2","Congenital anomalies",31,570,5.44
1969,"15-19",15,19,1954,"2","Digestive system",17,570,2.98
1969,"15-19",15,19,1954,"2","Endocrine/nutritional/metabolic/immunity",20,570,3.51
1969,"15-19",15,19,1954,"2","Genitourinary system",18,570,3.16
1969,"15-19",15,19,1954,"2","Ill-defined/Other",2,570,0.35
1969,"15-19",15,19,1954,"2","Infectious/parasitic",15,570,2.63
1969,"15-19",15,19,1954,"2","Injury and poisoning",255,570,44.74
1969,"15-19",15,19,1954,"2","Mental disorders",2,570,0.35
1969,"15-19",15,19,1954,"2","Musculoskeletal/connective tissue",6,570,1.05
1969,"15-19",15,19,1954,"2","Neoplasm",75,570,13.16
1969,"15-19",15,19,1954,"2","Nervous system/sense organs",20,570,3.51
1969,"15-19",15,19,1954,"2","Pregnancy/childbirth/puerperium",13,570,2.28
1969,"15-19",15,19,1954,"2","Respiratory system",48,570,8.42
1969,"15-19",15,19,1954,"2","Skin and subcutaneous tissue",1,570,0.18
1969,"20-24",20,24,1949,"1","Blood/blood forming organs",7,1836,0.38
1969,"20-24",20,24,1949,"1","Circulatory system",104,1836,5.66
1969,"20-24",20,24,1949,"1","Congenital anomalies",40,1836,2.18
1969,"20-24",20,24,1949,"1","Digestive system",30,1836,1.63
1969,"20-24",20,24,1949,"1","Endocrine/nutritional/metabolic/immunity",20,1836,1.09
1969,"20-24",20,24,1949,"1","Genitourinary system",22,1836,1.2
1969,"20-24",20,24,1949,"1","Ill-defined/Other",3,1836,0.16
1969,"20-24",20,24,1949,"1","Infectious/parasitic",25,1836,1.36
1969,"20-24",20,24,1949,"1","Injury and poisoning",1164,1836,63.4
1969,"20-24",20,24,1949,"1","Mental disorders",14,1836,0.76
1969,"20-24",20,24,1949,"1","Musculoskeletal/connective tissue",3,1836,0.16
1969,"20-24",20,24,1949,"1","Neoplasm",223,1836,12.15
1969,"20-24",20,24,1949,"1","Nervous system/sense organs",88,1836,4.79
1969,"20-24",20,24,1949,"1","Respiratory system",93,1836,5.07
1969,"20-24",20,24,1949,"2","Blood/blood forming organs",9,849,1.06
1969,"20-24",20,24,1949,"2","Circulatory system",64,849,7.54
1969,"20-24",20,24,1949,"2","Congenital anomalies",29,849,3.42
1969,"20-24",20,24,1949,"2","Digestive system",32,849,3.77
1969,"20-24",20,24,1949,"2","Endocrine/nutritional/metabolic/immunity",20,849,2.36
1969,"20-24",20,24,1949,"2","Genitourinary system",22,849,2.59
1969,"20-24",20,24,1949,"2","Ill-defined/Other",4,849,0.47
1969,"20-24",20,24,1949,"2","Infectious/parasitic",21,849,2.47
1969,"20-24",20,24,1949,"2","Injury and poisoning",314,849,36.98
1969,"20-24",20,24,1949,"2","Mental disorders",5,849,0.59
1969,"20-24",20,24,1949,"2","Musculoskeletal/connective tissue",10,849,1.18
1969,"20-24",20,24,1949,"2","Neoplasm",149,849,17.55
1969,"20-24",20,24,1949,"2","Nervous system/sense organs",55,849,6.48
1969,"20-24",20,24,1949,"2","Pregnancy/childbirth/puerperium",33,849,3.89
1969,"20-24",20,24,1949,"2","Respiratory system",80,849,9.42
1969,"20-24",20,24,1949,"2","Skin and subcutaneous tissue",2,849,0.24
1969,"25-29",25,29,1944,"1","Blood/blood forming organs",5,1435,0.35
1969,"25-29",25,29,1944,"1","Circulatory system",173,1435,12.06
1969,"25-29",25,29,1944,"1","Congenital anomalies",36,1435,2.51
1969,"25-29",25,29,1944,"1","Digestive system",29,1435,2.02
1969,"25-29",25,29,1944,"1","Endocrine/nutritional/metabolic/immunity",17,1435,1.18
1969,"25-29",25,29,1944,"1","Genitourinary system",34,1435,2.37
1969,"25-29",25,29,1944,"1","Ill-defined/Other",2,1435,0.14
1969,"25-29",25,29,1944,"1","Infectious/parasitic",18,1435,1.25
1969,"25-29",25,29,1944,"1","Injury and poisoning",724,1435,50.45
1969,"25-29",25,29,1944,"1","Mental disorders",9,1435,0.63
1969,"25-29",25,29,1944,"1","Musculoskeletal/connective tissue",3,1435,0.21
1969,"25-29",25,29,1944,"1","Neoplasm",242,1435,16.86
1969,"25-29",25,29,1944,"1","Nervous system/sense organs",61,1435,4.25
1969,"25-29",25,29,1944,"1","Respiratory system",80,1435,5.57
1969,"25-29",25,29,1944,"1","Skin and subcutaneous tissue",2,1435,0.14
1969,"25-29",25,29,1944,"2","Blood/blood forming organs",6,796,0.75
1969,"25-29",25,29,1944,"2","Circulatory system",108,796,13.57
1969,"25-29",25,29,1944,"2","Congenital anomalies",28,796,3.52
1969,"25-29",25,29,1944,"2","Digestive system",40,796,5.03
1969,"25-29",25,29,1944,"2","Endocrine/nutritional/metabolic/immunity",11,796,1.38
1969,"25-29",25,29,1944,"2","Genitourinary system",19,796,2.39
1969,"25-29",25,29,1944,"2","Ill-defined/Other",1,796,0.13
1969,"25-29",25,29,1944,"2","Infectious/parasitic",22,796,2.76
1969,"25-29",25,29,1944,"2","Injury and poisoning",200,796,25.13
1969,"25-29",25,29,1944,"2","Mental disorders",4,796,0.5
1969,"25-29",25,29,1944,"2","Musculoskeletal/connective tissue",11,796,1.38
1969,"25-29",25,29,1944,"2","Neoplasm",188,796,23.62
1969,"25-29",25,29,1944,"2","Nervous system/sense organs",48,796,6.03
1969,"25-29",25,29,1944,"2","Pregnancy/childbirth/puerperium",35,796,4.4
1969,"25-29",25,29,1944,"2","Respiratory system",74,796,9.3
1969,"25-29",25,29,1944,"2","Skin and subcutaneous tissue",1,796,0.13
1969,"30-34",30,34,1939,"1","Blood/blood forming organs",3,1654,0.18
1969,"30-34",30,34,1939,"1","Circulatory system",339,1654,20.5
1969,"30-34",30,34,1939,"1","Congenital anomalies",26,1654,1.57
1969,"30-34",30,34,1939,"1","Digestive system",42,1654,2.54
1969,"30-34",30,34,1939,"1","Endocrine/nutritional/metabolic/immunity",26,1654,1.57
1969,"30-34",30,34,1939,"1","Genitourinary system",39,1654,2.36
1969,"30-34",30,34,1939,"1","Ill-defined/Other",6,1654,0.36
1969,"30-34",30,34,1939,"1","Infectious/parasitic",21,1654,1.27
1969,"30-34",30,34,1939,"1","Injury and poisoning",640,1654,38.69
1969,"30-34",30,34,1939,"1","Mental disorders",7,1654,0.42
1969,"30-34",30,34,1939,"1","Musculoskeletal/connective tissue",5,1654,0.3
1969,"30-34",30,34,1939,"1","Neoplasm",327,1654,19.77
1969,"30-34",30,34,1939,"1","Nervous system/sense organs",66,1654,3.99
1969,"30-34",30,34,1939,"1","Respiratory system",106,1654,6.41
1969,"30-34",30,34,1939,"1","Skin and subcutaneous tissue",1,1654,0.06
1969,"30-34",30,34,1939,"2","Blood/blood forming organs",9,1006,0.89
1969,"30-34",30,34,1939,"2","Circulatory system",162,1006,16.1
1969,"30-34",30,34,1939,"2","Congenital anomalies",20,1006,1.99
1969,"30-34",30,34,1939,"2","Digestive system",27,1006,2.68
1969,"30-34",30,34,1939,"2","Endocrine/nutritional/metabolic/immunity",17,1006,1.69
1969,"30-34",30,34,1939,"2","Genitourinary system",38,1006,3.78
1969,"30-34",30,34,1939,"2","Ill-defined/Other",4,1006,0.4
1969,"30-34",30,34,1939,"2","Infectious/parasitic",13,1006,1.29
1969,"30-34",30,34,1939,"2","Injury and poisoning",221,1006,21.97
1969,"30-34",30,34,1939,"2","Mental disorders",6,1006,0.6
1969,"30-34",30,34,1939,"2","Musculoskeletal/connective tissue",14,1006,1.39
1969,"30-34",30,34,1939,"2","Neoplasm",324,1006,32.21
1969,"30-34",30,34,1939,"2","Nervous system/sense organs",43,1006,4.27
1969,"30-34",30,34,1939,"2","Pregnancy/childbirth/puerperium",25,1006,2.49
1969,"30-34",30,34,1939,"2","Respiratory system",83,1006,8.25
1969,"35-39",35,39,1934,"1","Blood/blood forming organs",5,2297,0.22
1969,"35-39",35,39,1934,"1","Circulatory system",817,2297,35.57
1969,"35-39",35,39,1934,"1","Congenital anomalies",25,2297,1.09
1969,"35-39",35,39,1934,"1","Digestive system",70,2297,3.05
1969,"35-39",35,39,1934,"1","Endocrine/nutritional/metabolic/immunity",48,2297,2.09
1969,"35-39",35,39,1934,"1","Genitourinary system",38,2297,1.65
1969,"35-39",35,39,1934,"1","Ill-defined/Other",3,2297,0.13
1969,"35-39",35,39,1934,"1","Infectious/parasitic",26,2297,1.13
1969,"35-39",35,39,1934,"1","Injury and poisoning",550,2297,23.94
1969,"35-39",35,39,1934,"1","Mental disorders",5,2297,0.22
1969,"35-39",35,39,1934,"1","Musculoskeletal/connective tissue",8,2297,0.35
1969,"35-39",35,39,1934,"1","Neoplasm",487,2297,21.2
1969,"35-39",35,39,1934,"1","Nervous system/sense organs",51,2297,2.22
1969,"35-39",35,39,1934,"1","Respiratory system",161,2297,7.01
1969,"35-39",35,39,1934,"1","Skin and subcutaneous tissue",3,2297,0.13
1969,"35-39",35,39,1934,"2","Blood/blood forming organs",6,1623,0.37
1969,"35-39",35,39,1934,"2","Circulatory system",342,1623,21.07
1969,"35-39",35,39,1934,"2","Congenital anomalies",8,1623,0.49
1969,"35-39",35,39,1934,"2","Digestive system",43,1623,2.65
1969,"35-39",35,39,1934,"2","Endocrine/nutritional/metabolic/immunity",30,1623,1.85
1969,"35-39",35,39,1934,"2","Genitourinary system",55,1623,3.39
1969,"35-39",35,39,1934,"2","Ill-defined/Other",4,1623,0.25
1969,"35-39",35,39,1934,"2","Infectious/parasitic",27,1623,1.66
1969,"35-39",35,39,1934,"2","Injury and poisoning",221,1623,13.62
1969,"35-39",35,39,1934,"2","Mental disorders",1,1623,0.06
1969,"35-39",35,39,1934,"2","Musculoskeletal/connective tissue",20,1623,1.23
1969,"35-39",35,39,1934,"2","Neoplasm",651,1623,40.11
1969,"35-39",35,39,1934,"2","Nervous system/sense organs",58,1623,3.57
1969,"35-39",35,39,1934,"2","Pregnancy/childbirth/puerperium",27,1623,1.66
1969,"35-39",35,39,1934,"2","Respiratory system",129,1623,7.95
1969,"35-39",35,39,1934,"2","Skin and subcutaneous tissue",1,1623,0.06
1969,"40-44",40,44,1929,"1","Blood/blood forming organs",10,4420,0.23
1969,"40-44",40,44,1929,"1","Circulatory system",1899,4420,42.96
1969,"40-44",40,44,1929,"1","Congenital anomalies",32,4420,0.72
1969,"40-44",40,44,1929,"1","Digestive system",123,4420,2.78
1969,"40-44",40,44,1929,"1","Endocrine/nutritional/metabolic/immunity",54,4420,1.22
1969,"40-44",40,44,1929,"1","Genitourinary system",74,4420,1.67
1969,"40-44",40,44,1929,"1","Ill-defined/Other",6,4420,0.14
1969,"40-44",40,44,1929,"1","Infectious/parasitic",72,4420,1.63
1969,"40-44",40,44,1929,"1","Injury and poisoning",676,4420,15.29
1969,"40-44",40,44,1929,"1","Mental disorders",8,4420,0.18
1969,"40-44",40,44,1929,"1","Musculoskeletal/connective tissue",13,4420,0.29
1969,"40-44",40,44,1929,"1","Neoplasm",1030,4420,23.3
1969,"40-44",40,44,1929,"1","Nervous system/sense organs",88,4420,1.99
1969,"40-44",40,44,1929,"1","Respiratory system",334,4420,7.56
1969,"40-44",40,44,1929,"1","Skin and subcutaneous tissue",1,4420,0.02
1969,"40-44",40,44,1929,"2","Blood/blood forming organs",12,3092,0.39
1969,"40-44",40,44,1929,"2","Circulatory system",750,3092,24.26
1969,"40-44",40,44,1929,"2","Congenital anomalies",19,3092,0.61
1969,"40-44",40,44,1929,"2","Digestive system",91,3092,2.94
1969,"40-44",40,44,1929,"2","Endocrine/nutritional/metabolic/immunity",45,3092,1.46
1969,"40-44",40,44,1929,"2","Genitourinary system",61,3092,1.97
1969,"40-44",40,44,1929,"2","Infectious/parasitic",42,3092,1.36
1969,"40-44",40,44,1929,"2","Injury and poisoning",277,3092,8.96
1969,"40-44",40,44,1929,"2","Mental disorders",8,3092,0.26
1969,"40-44",40,44,1929,"2","Musculoskeletal/connective tissue",25,3092,0.81
1969,"40-44",40,44,1929,"2","Neoplasm",1408,3092,45.54
1969,"40-44",40,44,1929,"2","Nervous system/sense organs",93,3092,3.01
1969,"40-44",40,44,1929,"2","Pregnancy/childbirth/puerperium",9,3092,0.29
1969,"40-44",40,44,1929,"2","Respiratory system",249,3092,8.05
1969,"40-44",40,44,1929,"2","Skin and subcutaneous tissue",3,3092,0.1
1969,"45-49",45,49,1924,"1","Blood/blood forming organs",9,8549,0.11
1969,"45-49",45,49,1924,"1","Circulatory system",4242,8549,49.62
1969,"45-49",45,49,1924,"1","Congenital anomalies",39,8549,0.46
1969,"45-49",45,49,1924,"1","Digestive system",227,8549,2.66
1969,"45-49",45,49,1924,"1","Endocrine/nutritional/metabolic/immunity",79,8549,0.92
1969,"45-49",45,49,1924,"1","Genitourinary system",107,8549,1.25
1969,"45-49",45,49,1924,"1","Ill-defined/Other",7,8549,0.08
1969,"45-49",45,49,1924,"1","Infectious/parasitic",86,8549,1.01
1969,"45-49",45,49,1924,"1","Injury and poisoning",767,8549,8.97
1969,"45-49",45,49,1924,"1","Mental disorders",17,8549,0.2
1969,"45-49",45,49,1924,"1","Musculoskeletal/connective tissue",23,8549,0.27
1969,"45-49",45,49,1924,"1","Neoplasm",2144,8549,25.08
1969,"45-49",45,49,1924,"1","Nervous system/sense organs",143,8549,1.67
1969,"45-49",45,49,1924,"1","Respiratory system",652,8549,7.63
1969,"45-49",45,49,1924,"1","Skin and subcutaneous tissue",7,8549,0.08
1969,"45-49",45,49,1924,"2","Blood/blood forming organs",18,5720,0.31
1969,"45-49",45,49,1924,"2","Circulatory system",1484,5720,25.94
1969,"45-49",45,49,1924,"2","Congenital anomalies",40,5720,0.7
1969,"45-49",45,49,1924,"2","Digestive system",168,5720,2.94
1969,"45-49",45,49,1924,"2","Endocrine/nutritional/metabolic/immunity",91,5720,1.59
1969,"45-49",45,49,1924,"2","Genitourinary system",101,5720,1.77
1969,"45-49",45,49,1924,"2","Ill-defined/Other",6,5720,0.1
1969,"45-49",45,49,1924,"2","Infectious/parasitic",58,5720,1.01
1969,"45-49",45,49,1924,"2","Injury and poisoning",370,5720,6.47
1969,"45-49",45,49,1924,"2","Mental disorders",10,5720,0.17
1969,"45-49",45,49,1924,"2","Musculoskeletal/connective tissue",47,5720,0.82
1969,"45-49",45,49,1924,"2","Neoplasm",2734,5720,47.8
1969,"45-49",45,49,1924,"2","Nervous system/sense organs",131,5720,2.29
1969,"45-49",45,49,1924,"2","Pregnancy/childbirth/puerperium",2,5720,0.03
1969,"45-49",45,49,1924,"2","Respiratory system",453,5720,7.92
1969,"45-49",45,49,1924,"2","Skin and subcutaneous tissue",7,5720,0.12
1969,"50-54",50,54,1919,"1","Blood/blood forming organs",10,12613,0.08
1969,"50-54",50,54,1919,"1","Circulatory system",6339,12613,50.26
1969,"50-54",50,54,1919,"1","Congenital anomalies",32,12613,0.25
1969,"50-54",50,54,1919,"1","Digestive system",316,12613,2.51
1969,"50-54",50,54,1919,"1","Endocrine/nutritional/metabolic/immunity",102,12613,0.81
1969,"50-54",50,54,1919,"1","Genitourinary system",144,12613,1.14
1969,"50-54",50,54,1919,"1","Ill-defined/Other",4,12613,0.03
1969,"50-54",50,54,1919,"1","Infectious/parasitic",115,12613,0.91
1969,"50-54",50,54,1919,"1","Injury and poisoning",735,12613,5.83
1969,"50-54",50,54,1919,"1","Mental disorders",14,12613,0.11
1969,"50-54",50,54,1919,"1","Musculoskeletal/connective tissue",25,12613,0.2
1969,"50-54",50,54,1919,"1","Neoplasm",3425,12613,27.15
1969,"50-54",50,54,1919,"1","Nervous system/sense organs",152,12613,1.21
1969,"50-54",50,54,1919,"1","Respiratory system",1193,12613,9.46
1969,"50-54",50,54,1919,"1","Skin and subcutaneous tissue",7,12613,0.06
1969,"50-54",50,54,1919,"2","Blood/blood forming organs",15,7572,0.2
1969,"50-54",50,54,1919,"2","Circulatory system",2333,7572,30.81
1969,"50-54",50,54,1919,"2","Congenital anomalies",34,7572,0.45
1969,"50-54",50,54,1919,"2","Digestive system",200,7572,2.64
1969,"50-54",50,54,1919,"2","Endocrine/nutritional/metabolic/immunity",106,7572,1.4
1969,"50-54",50,54,1919,"2","Genitourinary system",118,7572,1.56
1969,"50-54",50,54,1919,"2","Ill-defined/Other",8,7572,0.11
1969,"50-54",50,54,1919,"2","Infectious/parasitic",82,7572,1.08
1969,"50-54",50,54,1919,"2","Injury and poisoning",416,7572,5.49
1969,"50-54",50,54,1919,"2","Mental disorders",10,7572,0.13
1969,"50-54",50,54,1919,"2","Musculoskeletal/connective tissue",51,7572,0.67
1969,"50-54",50,54,1919,"2","Neoplasm",3444,7572,45.48
1969,"50-54",50,54,1919,"2","Nervous system/sense organs",127,7572,1.68
1969,"50-54",50,54,1919,"2","Respiratory system",624,7572,8.24
1969,"50-54",50,54,1919,"2","Skin and subcutaneous tissue",4,7572,0.05
1969,"55-59",55,59,1914,"1","Blood/blood forming organs",34,23139,0.15
1969,"55-59",55,59,1914,"1","Circulatory system",11340,23139,49.01
1969,"55-59",55,59,1914,"1","Congenital anomalies",45,23139,0.19
1969,"55-59",55,59,1914,"1","Digestive system",507,23139,2.19
1969,"55-59",55,59,1914,"1","Endocrine/nutritional/metabolic/immunity",182,23139,0.79
1969,"55-59",55,59,1914,"1","Genitourinary system",242,23139,1.05
1969,"55-59",55,59,1914,"1","Ill-defined/Other",6,23139,0.03
1969,"55-59",55,59,1914,"1","Infectious/parasitic",204,23139,0.88
1969,"55-59",55,59,1914,"1","Injury and poisoning",898,23139,3.88
1969,"55-59",55,59,1914,"1","Mental disorders",21,23139,0.09
1969,"55-59",55,59,1914,"1","Musculoskeletal/connective tissue",49,23139,0.21
1969,"55-59",55,59,1914,"1","Neoplasm",6884,23139,29.75
1969,"55-59",55,59,1914,"1","Nervous system/sense organs",240,23139,1.04
1969,"55-59",55,59,1914,"1","Respiratory system",2483,23139,10.73
1969,"55-59",55,59,1914,"1","Skin and subcutaneous tissue",4,23139,0.02
1969,"55-59",55,59,1914,"2","Blood/blood forming organs",32,12532,0.26
1969,"55-59",55,59,1914,"2","Circulatory system",4327,12532,34.53
1969,"55-59",55,59,1914,"2","Congenital anomalies",49,12532,0.39
1969,"55-59",55,59,1914,"2","Digestive system",330,12532,2.63
1969,"55-59",55,59,1914,"2","Endocrine/nutritional/metabolic/immunity",202,12532,1.61
1969,"55-59",55,59,1914,"2","Genitourinary system",198,12532,1.58
1969,"55-59",55,59,1914,"2","Ill-defined/Other",6,12532,0.05
1969,"55-59",55,59,1914,"2","Infectious/parasitic",96,12532,0.77
1969,"55-59",55,59,1914,"2","Injury and poisoning",544,12532,4.34
1969,"55-59",55,59,1914,"2","Mental disorders",28,12532,0.22
1969,"55-59",55,59,1914,"2","Musculoskeletal/connective tissue",78,12532,0.62
1969,"55-59",55,59,1914,"2","Neoplasm",5295,12532,42.25
1969,"55-59",55,59,1914,"2","Nervous system/sense organs",191,12532,1.52
1969,"55-59",55,59,1914,"2","Respiratory system",1151,12532,9.18
1969,"55-59",55,59,1914,"2","Skin and subcutaneous tissue",5,12532,0.04
1969,"60-64",60,64,1909,"1","Blood/blood forming organs",56,34960,0.16
1969,"60-64",60,64,1909,"1","Circulatory system",16904,34960,48.35
1969,"60-64",60,64,1909,"1","Congenital anomalies",42,34960,0.12
1969,"60-64",60,64,1909,"1","Digestive system",726,34960,2.08
1969,"60-64",60,64,1909,"1","Endocrine/nutritional/metabolic/immunity",265,34960,0.76
1969,"60-64",60,64,1909,"1","Genitourinary system",337,34960,0.96
1969,"60-64",60,64,1909,"1","Ill-defined/Other",19,34960,0.05
1969,"60-64",60,64,1909,"1","Infectious/parasitic",233,34960,0.67
1969,"60-64",60,64,1909,"1","Injury and poisoning",898,34960,2.57
1969,"60-64",60,64,1909,"1","Mental disorders",32,34960,0.09
1969,"60-64",60,64,1909,"1","Musculoskeletal/connective tissue",90,34960,0.26
1969,"60-64",60,64,1909,"1","Neoplasm",10200,34960,29.18
1969,"60-64",60,64,1909,"1","Nervous system/sense organs",277,34960,0.79
